latitude,longitude,year,Cow incidents,Crop circle found,Alien sighted,Abduction event,Rank
38.150072978511766,-5.143430061000466,1538,No,No,Yes,No,1
38.24966056521483,-4.320396623120475,1540,Yes,No,No,No,1
38.60905432498984,-2.0171924185482406,1541,No,No,No,Yes,1
37.567579882056755,-3.8268816083522914,1542,No,No,Yes,Yes,2
38.069676768923244,-5.4192907822821805,1543,No,No,Yes,No,1
41.32360867886696,-1.0799921675295021,1544,Yes,Yes,No,No,2
41.85696141684967,-4.016952427071115,1544,Yes,No,No,No,1
42.94483640996486,-4.711206306674864,1546,Yes,No,No,No,1
42.358878093525526,-1.2010505819523907,1549,Yes,Yes,No,No,2
41.64320160876699,-0.8712663070956987,1553,Yes,Yes,No,No,2
42.31311815755041,-6.2759686260631025,1554,Yes,No,No,No,1
42.9042590081112,-4.38694361076675,1554,Yes,No,No,No,1
37.756851131611946,-4.941435662537081,1554,No,No,Yes,No,1
38.0793089090613,-3.0711452951577405,1555,No,No,Yes,Yes,2
38.07440796220699,-4.258677270317722,1555,No,No,Yes,No,1
42.05289393675108,-0.20243276520023457,1555,Yes,Yes,No,No,2
42.660769008075135,-5.897572081142187,1556,Yes,No,No,No,1
41.34857968631622,-1.3863387695663558,1559,No,Yes,No,No,1
41.94717211917217,-0.12367413363668922,1564,Yes,Yes,No,No,2
41.63451321959853,-1.1556519931469007,1566,Yes,Yes,No,No,2
39.015789125165654,-1.1173297940506544,1566,No,No,Yes,Yes,2
37.41930402513522,-3.413108647869891,1570,No,No,Yes,Yes,2
42.899273498095546,-3.8697888122442183,1572,Yes,Yes,No,No,2
42.885129253005395,-3.0664371205253325,1574,No,No,No,No,0
41.67864898038116,-1.3300932563742125,1575,Yes,Yes,No,No,2
42.10620533032481,-4.288818279589694,1576,Yes,No,No,No,1
37.98194420781242,-4.441723243634023,1578,No,No,Yes,No,1
42.18574518435371,-3.9365611118124764,1579,Yes,No,No,Yes,2
38.37958548185213,-2.068619517027286,1580,No,No,Yes,Yes,2
41.89984738852411,-0.751344813215816,1586,No,Yes,No,No,1
38.210851865853165,-2.4697099180057376,1588,No,No,No,Yes,1
37.56390479127769,-5.304293188192495,1589,No,No,Yes,No,1
42.49069492519732,-1.1717428308850966,1589,No,Yes,No,No,1
38.14936363518706,-2.460690157466515,1591,No,No,Yes,No,1
